83,tcp,OTH,864,619,1,107,26,195,240,0,124,133,40088,21955,72575,15299,67949,609,auth,1,0,740,260,0.88,0.32,1,0.79,41756,37630,42,150,124,350,11,0.44,0.66,0.06,498,824,0.95,0.95,0.32,0.89,0.2,0.16,0.37,0.85,normal,19
115,tcp,S2,1487,569,1,28,185,27,176,1,238,69,12065,12127,46786,33149,27412,574,X11,0,1,906,985,0.91,0.12,0.71,0.43,41118,1520,97,242,80,356,96,0.96,0.11,0.33,2,771,0.71,0.45,0.13,0.22,0.56,0.23,0.07,0.9,xss_attack,34
255,tcp,RSTOS0,3159,866,0,29,128,195,24,0,35,105,26008,1377,19824,79678,91760,497,http_8001,0,0,811,586,0.48,0.91,0.08,0.19,35233,45838,59,400,150,119,426,0.96,0.98,0.5,487,328,0.91,0.85,0.32,0.22,0.73,0.35,0.56,0.94,normal,72
137,tcp,REJ,3100,257,1,171,9,179,170,0,254,91,33743,75990,41698,78898,85282,596,imap4,0,1,938,348,0.95,0.16,0.85,0.19,15186,41213,45,141,209,379,349,0.71,0.06,0.04,412,932,0.21,0.05,0.28,0.84,0.65,0.17,0.26,0.48,normal,63
134,tcp,S0,1954,795,0,231,207,25,43,1,232,22,34515,44594,17377,47703,67385,272,kshell,0,1,48,746,0.48,0.61,0.38,0.69,52715,483,89,389,331,101,312,0.82,0.86,0.88,113,822,0.92,0.75,0.45,0.6,0.34,0.14,0.28,0.18,network-scan,86
162,tcp,SH,2815,631,0,155,217,233,133,0,165,68,82323,83320,59976,81958,8486,665,pop_2,1,0,128,520,0.69,0.44,0.59,0.26,4101,48741,86,447,328,217,10,0.29,0.11,0.48,49,404,0.46,0.75,0.24,1,0.97,0.99,0.9,0.98,successful-recon-largescale,29
40,udp,S2,929,2362,0,60,228,19,201,0,16,151,69835,23489,52237,37729,71942,693,echo,1,1,389,955,0.41,0.25,0.24,0.71,55036,23286,0,27,298,383,177,0.01,0.03,0.42,688,187,0.03,0.99,0.44,0.18,0.55,0.87,0.42,0.11,normal,11
11,icmp,SH,2854,3228,1,154,69,198,125,0,59,106,64797,21456,28118,26742,26954,156,uucp,1,1,51,485,0.09,0.47,0.08,0.72,19837,27322,97,494,133,36,335,0.94,0.52,0.62,862,288,0.27,0.7,0.97,0.2,0.94,0.24,0.39,0.86,xss_attack,20
162,udp,S0,1201,2097,1,126,152,207,15,1,52,24,81536,57888,24496,90819,50500,202,gopher,1,1,506,716,0.67,0.47,0.37,0.63,39494,30954,44,463,45,50,493,0.12,0.46,0.44,942,611,0.74,0.1,0.26,0.83,0.22,0.64,0.62,0.71,normal,42
33,icmp,RSTO,2717,2758,1,85,8,116,131,0,54,99,35382,24468,18681,33834,16368,470,csnet_ns,0,1,791,568,0.65,0.05,0.87,0.45,8833,24255,40,487,303,245,281,0.62,0.87,0.76,45,106,0.68,0.94,0.99,0.29,0.92,0.66,0.07,0.58,trojan-activity,74
248,icmp,RSTR,2867,228,0,233,166,251,60,0,108,45,15197,46143,45093,71594,13661,191,smtp,1,1,989,854,0.46,0.61,0.88,0,14720,14312,56,40,310,318,383,0.6,0.2,0.71,614,241,0.29,0.68,0.86,0.34,0.79,0.65,0.53,0.44,successful-admin,19
197,udp,RSTO,1589,201,0,111,222,253,224,1,58,142,41002,96127,22247,16626,34794,496,mtp,0,0,297,409,0.89,0.32,0.18,0.64,27601,27930,98,27,32,400,253,0.74,0.45,0.18,612,975,0.55,0.34,0.71,0.98,0.29,0.3,0.22,0.79,xss_attack,66
