99,udp,S3,1909,3153,1,219,163,80,168,0,34,91,90753,31334,83148,51664,35472,367,0,0,87,596,0.41,0.37,0.61,0.08,42812,30058,56,451,141,331,72,0.69,0.39,0.3,294,990,0.88,0.05,0.12,0.49,0.35,0.6,0.19,0.63,malicious,7
99,udp,S1,2385,272,1,201,116,41,44,0,238,21,88775,33488,52592,53159,44024,465,1,1,92,778,0.38,0.29,0.32,0.7,31971,15714,99,354,177,370,280,0.72,0.39,0.24,509,676,0.33,0.79,0.33,0.6,0.13,0.16,0.73,0.32,normal,8
99,udp,RSTO,620,1730,0,164,79,111,248,1,54,97,80121,87175,41526,64235,93093,323,1,1,678,178,0.44,0.92,0.97,0.17,57413,3425,61,111,60,255,179,0.57,0.66,0.87,173,398,0.44,0.39,0.49,0.17,0.56,0.6,0.53,0.43,malicious,100
99,tcp,SF,1850,2094,0,132,185,150,171,0,192,131,4456,69077,82988,36674,14472,488,1,0,9,730,0.95,0.3,0.18,0.41,60224,48952,97,147,109,70,406,0.85,0.16,0.65,630,712,0.64,0.58,0.57,0.47,1,0.28,0.41,0.09,normal,98
99,tcp,S2,660,171,1,129,232,26,209,0,80,69,9134,77569,84800,29140,38385,515,0,0,849,637,0.45,0.2,0.42,0.53,16936,34149,81,136,310,26,497,0.59,0.74,0.84,335,819,0.02,0.21,0.39,0.69,0.22,0.28,0.35,0.24,normal,40
99,tcp,S2,252,1049,1,130,15,150,97,1,131,81,79218,97879,84715,77989,94026,399,1,1,140,373,0.42,0.95,0.11,0.36,56210,27884,0,346,44,22,379,0.64,0.35,0.24,143,570,0.88,0.8,0.13,0.08,0.49,0.45,0.53,0.77,normal,22
99,tcp,S2,1954,2252,0,92,19,217,226,0,121,143,68720,44741,98394,7558,80872,112,0,0,470,933,0.49,0.58,0.95,0.09,17831,64489,71,318,341,19,70,0.53,0.25,0.13,702,380,0.2,0.87,0.32,0.54,0.9,0.34,0.08,0.84,malicious,94
99,tcp,S0,2734,1963,1,114,84,113,38,0,188,97,84958,97478,97081,79223,90933,527,1,0,367,213,0.37,1,0.52,0.85,17232,26455,63,65,151,134,357,0.91,0.1,0.76,327,922,0.51,0.78,0.27,0.88,0.17,0.64,0.12,0.37,normal,70
99,tcp,RSTR,2122,871,1,214,36,51,236,1,103,48,85450,34732,25154,40686,46439,374,0,1,775,46,0.8,0.47,0.58,0.47,23937,64817,73,239,316,71,396,0.73,0.85,0.85,835,26,0,0.7,0.19,0.99,0.69,0.61,0.5,0.06,normal,91
99,tcp,RSTOS0,2484,108,1,76,26,7,121,1,95,104,19970,60212,68517,98119,59359,282,1,1,59,623,0.23,0.82,0.26,0.24,61793,10252,31,454,193,272,36,0.27,0.64,0.33,379,186,0.89,0.79,0.47,0.63,0.88,0.44,0.1,0.76,normal,39
99,tcp,OTH,717,780,1,187,129,192,33,0,11,26,52595,6463,41869,67119,36303,134,0,1,45,167,0.58,0.84,0.72,0.18,11370,63966,49,281,171,0,500,0.77,0.23,0.42,595,288,0.87,0.03,0.95,0.1,0.99,0.54,0.16,0.11,normal,81
99,icmp,SH,2284,617,1,214,68,104,18,1,246,86,44787,84603,83352,97248,2914,405,1,1,378,535,0.03,0.71,0.51,0.46,20850,18788,46,385,141,35,5,0.53,0.62,0.69,570,301,0.99,0.8,0.67,0.97,0.62,0.46,0.94,0.12,normal,66
99,icmp,S3,2213,1542,1,139,79,185,140,1,137,85,96421,96287,39050,38538,75452,276,0,0,966,347,0.44,0.32,0.95,0.69,39713,46879,36,227,78,119,119,0.98,0.52,0.77,561,849,0.99,0.76,0.37,0.58,0.56,0.66,0.44,0.86,normal,81
99,icmp,S2,534,1756,0,147,221,104,100,1,116,62,84267,94136,19870,63934,208,197,0,0,961,433,0.26,0.2,0.72,0.83,9849,54859,1,488,214,379,402,0,0.42,0.21,429,629,0.99,0.69,0.75,0.5,0.91,0.59,0.03,0.77,normal,65
99,icmp,S2,3227,946,0,213,120,177,116,1,62,26,48397,18098,58694,72453,53465,237,0,0,193,252,0.8,0.93,0.26,0.77,3011,24536,60,426,296,153,463,0.19,0.35,0.19,167,62,0.5,0.53,0.51,0.6,0.71,1,0.18,0.72,normal,19
99,icmp,S2,178,131,1,84,131,109,9,0,153,117,14931,42012,1429,96823,17558,152,1,1,868,315,0.02,0.98,0.52,0.02,60660,41152,69,275,346,220,168,0.89,0.7,0.34,238,709,0.21,0.61,0.3,0.28,0.79,0.13,0.98,0.59,normal,70
99,icmp,RSTR,1138,847,0,45,129,230,100,1,5,6,51596,81041,79143,40363,66243,697,1,1,595,255,0.99,0.35,0.77,0.77,20553,63525,45,262,327,214,335,0.8,0.96,0.5,517,891,0.89,0.45,0.23,0.88,0.77,0.41,0.52,0.48,normal,14
99,icmp,RSTOS0,2978,2857,0,234,221,108,200,0,64,133,29300,37393,81325,77886,43066,288,0,0,385,330,0.51,0.14,0.3,0.07,40488,33852,62,44,221,227,455,0.04,0.51,0.29,574,680,0.75,0.25,0.56,0.32,0.42,0.91,0.64,0.32,malicious,43
99,icmp,RSTOS0,1741,2277,0,149,57,213,250,1,169,10,7737,23210,20963,78531,69495,469,0,1,552,781,0.42,0.76,0.86,0.12,26559,17895,45,313,148,327,231,0.72,0.67,0.69,674,175,0.17,0.43,0.68,0,0.67,0.41,0.63,0.16,malicious,82
98,udp,SF,1003,867,0,177,15,216,163,1,218,57,79372,14597,74009,561,14808,351,0,0,147,373,0.58,0.3,0.56,0.97,57416,53427,83,459,231,207,16,0.81,0.14,0.44,579,866,0.78,0.71,0.82,1,0.45,0.94,0,0.47,normal,24
98,udp,S0,32,895,0,46,166,172,250,1,204,13,20783,32443,69768,81246,49196,262,1,0,218,190,0.32,0.08,0.71,0.72,44420,60863,66,366,35,39,326,0.51,0.41,0.46,785,497,0.77,0.46,0.41,0.93,0.41,0.49,0.66,0.22,normal,11
98,udp,S0,3157,653,0,153,132,50,71,1,103,94,92052,20212,59064,41661,55670,433,0,1,823,969,0.38,0.37,0.72,0.63,4245,52120,66,171,360,240,472,0.78,0.42,0.49,354,789,0.89,0.4,0.43,0.91,0.02,0.38,0.63,0.2,normal,61
98,udp,RSTOS0,692,389,0,54,176,113,69,1,181,124,95821,40847,67359,89790,12698,126,0,1,800,388,0.4,0.33,0.69,0.95,2043,5,52,495,399,331,342,0.34,0.58,0.51,535,887,0.31,0.12,0.77,0.98,0.56,0.73,0.83,0.34,malicious,49
98,udp,RSTO,1618,1848,0,201,97,129,62,0,39,72,85222,72786,83367,55992,12147,8,1,1,891,138,0.96,0.17,0.46,0.68,52322,23175,52,168,262,131,14,0.21,0.6,0.74,787,278,0.42,0.57,0.83,0.69,0.19,0.61,0.08,0.16,normal,6
98,tcp,SH,845,836,0,231,138,224,202,1,112,44,12101,6739,12271,95689,15618,482,1,0,467,502,0.91,0.81,0.89,0.3,10715,64731,79,342,214,364,220,0.3,0.41,0.65,399,296,0.08,0.46,0.33,0.18,0.15,0.7,0.21,0.22,normal,28
98,tcp,SH,470,2985,0,200,66,128,53,0,133,32,54758,31996,96193,44457,97601,645,0,1,557,794,0.59,0.15,0.67,0.98,38113,32778,15,47,394,292,469,0.36,0.93,0.42,179,659,0.23,0.1,0.8,0.18,0.54,0.31,0.94,0.68,normal,95
98,tcp,SH,2206,729,1,194,20,155,22,0,97,62,23791,53601,40927,26668,77031,490,1,0,806,94,0.27,0.89,0.27,0.18,57101,64859,50,303,72,259,144,0.1,0.07,0.17,182,904,0.83,0.89,0.92,0.56,0.99,0.73,0.22,0.06,normal,80
98,tcp,S3,857,2832,1,167,104,25,128,0,240,88,75403,98541,5554,54600,44384,473,0,0,587,948,0.89,1,0.85,0.48,41123,15955,81,222,37,331,216,0.97,0.99,0.51,580,881,0.03,0.25,0.48,0.75,0.29,0.16,0.35,0.53,normal,12
98,tcp,S0,1927,1361,1,250,234,65,91,0,8,2,92133,1656,50051,20871,14765,159,0,0,279,329,0.46,0.37,0.9,0.11,43373,13964,13,362,285,27,141,0.22,1,0.15,149,42,0.99,0.64,0.2,0.56,0.25,0.3,0.15,0.2,malicious,49
98,tcp,REJ,511,842,1,194,126,69,66,1,101,53,89083,44275,9257,52688,75340,289,1,1,153,63,0.74,0.02,0.8,0.6,48876,43969,8,191,267,87,130,0.32,0.6,0.33,360,834,0.08,0.4,0.29,0.17,0.92,0.09,0.64,0.24,normal,13
98,tcp,REJ,2028,1610,0,221,136,122,127,0,186,61,73081,84630,38420,71774,60714,540,0,0,476,908,0.23,0.65,0.81,0.35,62808,35862,0,412,370,372,45,0.54,0.41,0.81,724,165,0.1,0.59,0.57,0.23,0.64,0.72,0.09,0.23,normal,40
98,tcp,REJ,1701,2755,1,180,135,178,137,0,3,118,87682,23002,92286,80545,78968,492,1,0,481,59,0.64,0.48,0.82,0.74,372,33250,33,280,209,96,20,0.58,0.54,0.56,188,849,0.91,0.96,0.11,0.25,0.24,0.18,0.11,0.16,malicious,47
