142,udp,sql_net,RSTR,1913,3151,1,113,26,214,135,0,158,97,54972,58280,59646,8448,94887,121,0,1,893,634,0.88,0.15,0.58,0.3,29776,34123,74,166,329,399,333,0.21,0.95,0.9,243,301,0.32,0.67,0.87,0.65,0.51,0.88,0.66,0,normal,38
233,tcp,exec,REJ,396,1113,0,72,134,110,22,1,153,137,94245,65423,36419,56084,1132,23,1,1,412,376,0.17,0.48,0.73,0.25,64777,57477,36,362,393,124,496,0.52,0,0.54,855,977,0.51,0.33,0.84,0.27,0.99,0.63,0.19,0.9,trojan_activity,62
247,tcp,gopher,RSTO,2640,2828,1,94,74,250,37,1,109,100,66247,42601,54751,72099,77482,538,0,1,284,943,0.09,0.3,0.01,0.48,4482,24246,69,136,314,123,240,0.48,0.24,0.22,240,481,0.99,0.93,0.77,0.72,0.76,0.56,0.01,0.62,unsuccessful_user,76
180,udp,eco_i,REJ,516,2047,0,122,210,62,102,1,99,138,22024,76158,86336,75789,72060,466,1,0,397,622,0.5,0.3,0.81,0.36,38743,27020,24,498,30,43,457,0.14,0.96,0.15,690,173,0.6,0.64,0.28,0.43,0.05,0.53,0.81,0.08,trojan_activity,74
137,udp,domain,OTH,2827,824,0,154,76,28,128,1,114,54,21473,84794,86112,58053,4540,470,1,0,536,295,0.08,0.12,0.56,0.85,56739,37213,43,370,100,206,215,0.75,0.54,0.66,128,687,0.25,0,0.38,1,0.57,0.13,0.48,0.93,rpc_portmap_decode,74
79,icmp,red_i,S3,2884,2415,0,61,75,226,124,0,79,123,71097,15996,68661,37982,32445,244,1,1,971,395,0.39,0.88,0.6,0.65,17596,26328,52,264,70,171,457,0.74,0.92,0.42,345,227,0.19,0.09,0.55,0.51,0.79,0.63,0.06,0.37,normal,59
238,udp,vmnet,OTH,74,2650,0,146,75,209,252,0,123,115,59425,2950,45800,17765,92031,464,1,1,722,353,0.71,0.86,0.3,0.21,46837,10762,34,236,332,330,147,0.03,0.27,0.93,135,644,0.22,0.26,0.09,0.46,0.17,0.84,0.06,0.37,system_call_detect,21
64,icmp,supdup,RSTOS0,2834,2999,0,36,77,96,90,1,181,79,28055,88426,37933,17357,84758,402,1,0,704,223,0.06,0.75,0.44,0.57,38199,42277,82,391,104,313,337,0.15,0.16,0.48,892,949,0.3,0.9,0.97,0.29,0.97,0.61,0.33,0.79,normal,9
49,icmp,private,RSTO,2778,2015,0,216,101,215,181,0,182,29,33862,86388,60034,14449,65456,72,0,1,827,421,0.8,0.44,0.92,0.59,53085,19644,34,142,397,220,213,0.88,0.57,0.01,685,378,0.43,0.71,0.52,0.84,0.1,0.6,0.93,0.98,denial_of_service,96
241,tcp,uucp,S3,1407,1723,0,195,237,167,79,1,16,30,22936,31927,45552,24351,51174,451,0,1,235,373,0.63,0.18,1,0.26,30742,62731,34,371,53,371,416,0.17,0.71,0.7,578,56,0.86,0.43,0.22,0.55,0.23,0.14,0.18,0.51,network_scan,66
