114,tcp,gopher,S3,2343,783,1.87,186,229,248,1,106,14,76859,64455,21845,15453,65443,334,0,1,138,649,0.12,0.13,0.53,0.61,31331,6911,36,425,339,53,303,0.77,0.66,0.15,679,296,0.39,0.3,0.31,0.16,0.27,0.11,0.65,0.48,buffer_overflow,15
100,tcp,mtp,RSTOS0,1355,2549,1.219,38,172,242,0,75,137,42505,37542,3476,66930,39563,216,1,0,823,736,0.78,0.03,0.66,0.93,4187,62260,97,127,10,101,405,0.18,0.14,0.36,763,927,0.85,0.23,0.04,0.32,0.34,0.77,0.49,0.28,attempted_user,31
19,tcp,urh_i,S0,446,3137,1.127,165,69,29,1,91,24,98592,65980,43076,14356,97101,153,0,0,128,911,0.01,0.39,0.95,0.24,39126,7224,83,313,246,365,278,0.88,0.26,0.4,974,923,0.15,0.28,0.29,0.94,0.18,0.77,0.02,0.06,default_login_attempt,38
174,icmp,harvest,RSTO,1947,1306,0.205,1,23,49,1,70,48,136,9319,7394,7208,63154,637,0,0,429,248,0.1,0.26,0.44,0.93,45370,34305,74,89,262,93,369,0.26,0.18,0.5,400,337,0.9,0.16,1,0.58,0.18,0.5,0.73,0.04,system_call_detect,34
253,tcp,uucp_path,RSTOS0,139,1311,1.219,84,250,12,0,25,18,4721,45723,33502,4308,60172,641,0,1,217,82,0,0.25,0.06,0,1449,53169,52,445,325,318,148,0.48,0.97,0.43,231,14,0.45,0.83,0.82,0.05,0.17,0.74,0.64,0.09,trojan_activity,13
32,udp,finger,RSTOS0,379,2550,0.198,198,35,119,1,195,3,12282,81888,21103,51767,81608,584,1,1,357,903,0.16,0.42,0.99,0.93,22626,51898,65,405,366,352,78,0.47,0.21,0.16,275,21,0.46,0.59,0,0.03,0.31,0.3,0.73,0.69,unsuccessful_user,78
43,icmp,ldap,S0,2423,2228,0.231,170,3,149,1,186,87,95470,332,31708,18050,54465,387,1,1,515,251,0.74,0.5,0.44,0.47,1481,60143,12,18,329,16,250,0.49,0.5,0.1,243,947,0.1,0.61,0.02,0.71,0.63,0.86,0.29,0.51,inappropriate_content,18
160,udp,netbios_ns,S1,3212,1477,0.213,18,250,61,0,179,19,55106,9805,33249,19638,40356,358,0,0,524,766,0.97,0.93,0.59,0.27,56376,3435,8,263,299,175,242,0.9,0.33,0.46,777,315,0.7,0.03,0.91,0.15,0.97,0.26,0.32,0.79,shellcode_detect,82
19,udp,aol,SF,2716,2356,0.110,113,25,232,0,6,27,32940,83321,72997,65721,53787,591,1,0,691,651,0.05,0.76,0.85,0.72,46118,15823,99,364,250,232,417,0.71,0.01,0.16,476,381,0.91,0.13,0.77,0.99,0.95,0.34,0.7,0.95,attempted_recon,53
92,udp,ldap,S1,175,1733,0.190,32,211,138,1,134,67,86159,36192,50795,11907,29764,685,1,1,394,470,0.56,0.43,0.04,0.52,60665,64584,9,46,344,329,389,0.2,0.89,0.41,133,595,0.66,0.03,0.14,0.69,0.04,0.03,0.29,0.48,xss_attack,8
